Approve	Disapprove	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
62.0	38.0		rasmussen-27017	Rasmussen	2017-01-12	2017-01-16		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
57.0	38.0		gallup-27012	Gallup	2017-01-13	2017-01-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
60.0	39.0	1.0	cnn-27029	CNN	2017-01-12	2017-01-15		Adults	1000	3.0	Live Phone	Nonpartisan	None
95.0	5.0	0.0	cnn-27029	CNN	2017-01-12	2017-01-15		Adults - Democrat		5.5	Live Phone	Nonpartisan	None
18.0	81.0	1.0	cnn-27029	CNN	2017-01-12	2017-01-15		Adults - Republican		6.0	Live Phone	Nonpartisan	None
59.0	40.0	1.0	cnn-27029	CNN	2017-01-12	2017-01-15		Adults - independent		5.0	Live Phone	Nonpartisan	None
56.0	40.0	4.0	nbc-wsj-27023	NBC/WSJ	2017-01-12	2017-01-15		Adults	1000	3.1	Live Phone	Nonpartisan	None
56.0	38.0	6.0	monmouth-university-27022	Monmouth University	2017-01-12	2017-01-15	Do you approve or disapprove of the job Barack Obama is doing as president?	Adults	801	3.5	Live Phone	Nonpartisan	None
94.0	4.0	2.0	monmouth-university-27022	Monmouth University	2017-01-12	2017-01-15	Do you approve or disapprove of the job Barack Obama is doing as president?	Adults - Democrat			Live Phone	Nonpartisan	None
13.0	81.0	6.0	monmouth-university-27022	Monmouth University	2017-01-12	2017-01-15	Do you approve or disapprove of the job Barack Obama is doing as president?	Adults - Republican			Live Phone	Nonpartisan	None
57.0	36.0	7.0	monmouth-university-27022	Monmouth University	2017-01-12	2017-01-15	Do you approve or disapprove of the job Barack Obama is doing as president?	Adults - independent			Live Phone	Nonpartisan	None
60.0	38.0	2.0	abc-post-27007	ABC/Post	2017-01-12	2017-01-15		Adults	1005	3.5	Live Phone	Nonpartisan	None
62.0	37.0		rasmussen-27008	Rasmussen	2017-01-11	2017-01-15		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
57.0	39.0		gallup-27011	Gallup	2017-01-12	2017-01-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
53.0	44.0	3.0	politico-morning-consult-27024	Politico/Morning Consult	2017-01-12	2017-01-13		Registered Voters	1991	2.0	Internet	Nonpartisan	None
89.0	10.0	2.0	politico-morning-consult-27024	Politico/Morning Consult	2017-01-12	2017-01-13		Registered Voters - Democrat	708		Internet	Nonpartisan	None
18.0	81.0	2.0	politico-morning-consult-27024	Politico/Morning Consult	2017-01-12	2017-01-13		Registered Voters - Republican	685		Internet	Nonpartisan	None
50.0	43.0	7.0	politico-morning-consult-27024	Politico/Morning Consult	2017-01-12	2017-01-13		Registered Voters - independent	597		Internet	Nonpartisan	None
58.0	37.0		gallup-27010	Gallup	2017-01-11	2017-01-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
57.0	40.0		gallup-27005	Gallup	2017-01-10	2017-01-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
60.0	38.0		rasmussen-27004	Rasmussen	2017-01-10	2017-01-12		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
57.0	40.0		gallup-27003	Gallup	2017-01-09	2017-01-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
61.0	38.0		rasmussen-27002	Rasmussen	2017-01-09	2017-01-11		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
55.0	42.0		gallup-27000	Gallup	2017-01-08	2017-01-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
59.0	39.0		rasmussen-26999	Rasmussen	2017-01-08	2017-01-10		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
49.0	43.0	9.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults	1424	3.1	Internet	Nonpartisan	None
83.0	12.0	5.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults - Democrat	541		Internet	Nonpartisan	None
16.0	83.0	0.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults - Republican	330		Internet	Nonpartisan	None
39.0	46.0	16.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults - independent	553		Internet	Nonpartisan	None
52.0	44.0	4.0	ipsos-reuters-27001	Ipsos/Reuters	2017-01-06	2017-01-10	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	1787	2.6	Internet	Nonpartisan	None
85.0	13.0	2.0	ipsos-reuters-27001	Ipsos/Reuters	2017-01-06	2017-01-10	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	758	4.1	Internet	Nonpartisan	None
19.0	80.0	2.0	ipsos-reuters-27001	Ipsos/Reuters	2017-01-06	2017-01-10	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	685	4.3	Internet	Nonpartisan	None
42.0	50.0	8.0	ipsos-reuters-27001	Ipsos/Reuters	2017-01-06	2017-01-10	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	214	7.6	Internet	Nonpartisan	None
56.0	40.0		gallup-26995	Gallup	2017-01-07	2017-01-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
55.0	39.0	6.0	quinnipiac-26994	Quinnipiac	2017-01-05	2017-01-09	Do you approve or disapprove of the way Barack Obama is handling his job as President?	Registered Voters	899	3.3	Live Phone	Nonpartisan	None
60.0	39.0		rasmussen-26993	Rasmussen	2017-01-05	2017-01-09		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
55.0	40.0	5.0	pew-27032	Pew	2017-01-04	2017-01-09		Adults	1502	2.9	Live Phone	Nonpartisan	None
56.0	41.0		gallup-26990	Gallup	2017-01-06	2017-01-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	40.0		rasmussen-26987	Rasmussen	2017-01-04	2017-01-08		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
50.0	47.0	3.0	politico-morning-consult-26992	Politico/Morning Consult	2017-01-05	2017-01-07		Registered Voters	1988	2.0	Internet	Nonpartisan	None
85.0	13.0	2.0	politico-morning-consult-26992	Politico/Morning Consult	2017-01-05	2017-01-07		Registered Voters - Democrat	716		Internet	Nonpartisan	None
18.0	79.0	2.0	politico-morning-consult-26992	Politico/Morning Consult	2017-01-05	2017-01-07		Registered Voters - Republican	723		Internet	Nonpartisan	None
47.0	47.0	6.0	politico-morning-consult-26992	Politico/Morning Consult	2017-01-05	2017-01-07		Registered Voters - independent	549		Internet	Nonpartisan	None
56.0	40.0		gallup-26989	Gallup	2017-01-05	2017-01-07		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	48.0	3.0	zogby-26997	Zogby	2017-01-04	2017-01-06		Likely Voters	1324	2.7	Internet	Nonpartisan	None
56.0	41.0		gallup-26988	Gallup	2017-01-04	2017-01-06		Adults	1500	3.0	Live Phone	Nonpartisan	None
56.0	42.0		gallup-26985	Gallup	2017-01-03	2017-01-05		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	41.0		rasmussen-26978	Rasmussen	2017-01-03	2017-01-05		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
54.0	43.0		gallup-26977	Gallup	2017-01-02	2017-01-04		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	41.0		rasmussen-26976	Rasmussen	2017-01-02	2017-01-04		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
50.0	42.0	8.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults	1647	3.0	Internet	Nonpartisan	None
84.0	13.0	2.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults - Democrat	631		Internet	Nonpartisan	None
17.0	78.0	4.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults - Republican	383		Internet	Nonpartisan	None
42.0	44.0	15.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults - independent	633		Internet	Nonpartisan	None
52.0	44.0	4.0	ipsos-reuters-26975	Ipsos/Reuters	2016-12-30	2017-01-03	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	1961	2.5	Internet	Nonpartisan	None
85.0	14.0	1.0	ipsos-reuters-26975	Ipsos/Reuters	2016-12-30	2017-01-03	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	860	3.8	Internet	Nonpartisan	None
20.0	78.0	2.0	ipsos-reuters-26975	Ipsos/Reuters	2016-12-30	2017-01-03	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	727	4.1	Internet	Nonpartisan	None
41.0	55.0	4.0	ipsos-reuters-26975	Ipsos/Reuters	2016-12-30	2017-01-03	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	218	7.6	Internet	Nonpartisan	None
53.0	43.0		gallup-26974	Gallup	2016-12-30	2017-01-03		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	42.0		gallup-26971	Gallup	2016-12-29	2017-01-02		Adults	1500	3.0	Live Phone	Nonpartisan	None
57.0	42.0		rasmussen-26966	Rasmussen	2016-12-29	2017-01-02		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
55.0	40.0		gallup-26970	Gallup	2016-12-28	2016-12-30		Adults	1500	3.0	Live Phone	Nonpartisan	None
52.0	45.0	3.0	politico-morning-consult-26973	Politico/Morning Consult	2016-12-28	2016-12-29		Registered Voters	2000	2.0	Internet	Nonpartisan	None
86.0	12.0	1.0	politico-morning-consult-26973	Politico/Morning Consult	2016-12-28	2016-12-29		Registered Voters - Democrat	700		Internet	Nonpartisan	None
20.0	79.0	1.0	politico-morning-consult-26973	Politico/Morning Consult	2016-12-28	2016-12-29		Registered Voters - Republican	671		Internet	Nonpartisan	None
48.0	46.0	6.0	politico-morning-consult-26973	Politico/Morning Consult	2016-12-28	2016-12-29		Registered Voters - independent	629		Internet	Nonpartisan	None
55.0	45.0		rasmussen-26964	Rasmussen	2016-12-27	2016-12-29		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	41.0		gallup-26963	Gallup	2016-12-27	2016-12-29		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	46.0		rasmussen-26962	Rasmussen	2016-12-26	2016-12-28		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
55.0	40.0		gallup-26961	Gallup	2016-12-26	2016-12-28		Adults	1500	3.0	Live Phone	Nonpartisan	None
48.0	43.0	10.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults	1662	2.9	Internet	Nonpartisan	None
84.0	13.0	3.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults - Democrat	637		Internet	Nonpartisan	None
18.0	78.0	4.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults - Republican	385		Internet	Nonpartisan	None
37.0	46.0	17.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults - independent	640		Internet	Nonpartisan	None
56.0	40.0		gallup-26959	Gallup	2016-12-23	2016-12-27		Adults	1500	3.0	Live Phone	Nonpartisan	None
55.0	45.0		rasmussen-26957	Rasmussen	2016-12-22	2016-12-27		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	40.0		gallup-26956	Gallup	2016-12-22	2016-12-26		Adults	1500	3.0	Live Phone	Nonpartisan	None
55.0	44.0		rasmussen-26952	Rasmussen	2016-12-21	2016-12-26		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	41.0		gallup-26954	Gallup	2016-12-21	2016-12-23		Adults	1500	3.0	Live Phone	Nonpartisan	None
56.0	40.0		gallup-26953	Gallup	2016-12-20	2016-12-22		Adults	1500	3.0	Live Phone	Nonpartisan	None
56.0	43.0		rasmussen-26951	Rasmussen	2016-12-20	2016-12-22		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	40.0		gallup-26950	Gallup	2016-12-19	2016-12-21		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	44.0		rasmussen-26949	Rasmussen	2016-12-19	2016-12-21		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
57.0	39.0		gallup-26947	Gallup	2016-12-18	2016-12-20		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	44.0		rasmussen-26944	Rasmussen	2016-12-18	2016-12-20		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
53.0	42.0	5.0	arg-26946	ARG	2016-12-17	2016-12-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
48.0	43.0	9.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults	1376	3.3	Internet	Nonpartisan	None
83.0	13.0	4.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults - Democrat	549		Internet	Nonpartisan	None
16.0	79.0	5.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults - Republican	325		Internet	Nonpartisan	None
36.0	46.0	18.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults - independent	502		Internet	Nonpartisan	None
56.0	41.0	3.0	ipsos-reuters-26948	Ipsos/Reuters	2016-12-16	2016-12-20	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	2065	2.5	Internet	Nonpartisan	None
89.0	10.0	1.0	ipsos-reuters-26948	Ipsos/Reuters	2016-12-16	2016-12-20	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	960	3.6	Internet	Nonpartisan	None
24.0	75.0	1.0	ipsos-reuters-26948	Ipsos/Reuters	2016-12-16	2016-12-20	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	727	4.1	Internet	Nonpartisan	None
42.0	53.0	5.0	ipsos-reuters-26948	Ipsos/Reuters	2016-12-16	2016-12-20	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	216	7.6	Internet	Nonpartisan	None
57.0	39.0		gallup-26941	Gallup	2016-12-17	2016-12-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
55.0	44.0		rasmussen-26940	Rasmussen	2016-12-15	2016-12-19		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
57.0	38.0		gallup-26938	Gallup	2016-12-16	2016-12-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	41.0	5.0	suffolk-usa-today-26943	Suffolk/USA Today	2016-12-14	2016-12-18		Likely Voters	1000	3.0	Live Phone	Nonpartisan	None
90.0	7.0	3.0	suffolk-usa-today-26943	Suffolk/USA Today	2016-12-14	2016-12-18		Likely Voters - Democrat	340		Live Phone	Nonpartisan	None
16.0	79.0	5.0	suffolk-usa-today-26943	Suffolk/USA Today	2016-12-14	2016-12-18		Likely Voters - Republican	304		Live Phone	Nonpartisan	None
51.0	41.0	7.0	suffolk-usa-today-26943	Suffolk/USA Today	2016-12-14	2016-12-18		Likely Voters - independent	323		Live Phone	Nonpartisan	None
57.0	42.0		rasmussen-26933	Rasmussen	2016-12-14	2016-12-18		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	40.0		gallup-26937	Gallup	2016-12-15	2016-12-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
52.0	44.0	3.0	politico-morning-consult-26932	Politico/Morning Consult	2016-12-15	2016-12-17		Registered Voters	2000	2.0	Internet	Nonpartisan	None
87.0	11.0	2.0	politico-morning-consult-26932	Politico/Morning Consult	2016-12-15	2016-12-17		Registered Voters - Democrat	710		Internet	Nonpartisan	None
19.0	80.0	2.0	politico-morning-consult-26932	Politico/Morning Consult	2016-12-15	2016-12-17		Registered Voters - Republican	687		Internet	Nonpartisan	None
50.0	43.0	7.0	politico-morning-consult-26932	Politico/Morning Consult	2016-12-15	2016-12-17		Registered Voters - independent	602		Internet	Nonpartisan	None
56.0	40.0		gallup-26936	Gallup	2016-12-14	2016-12-16		Adults	1500	3.0	Live Phone	Nonpartisan	None
56.0	41.0		gallup-26931	Gallup	2016-12-13	2016-12-15		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	40.0		rasmussen-26930	Rasmussen	2016-12-13	2016-12-15		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
52.0	42.0	6.0	nbc-wsj-26939	NBC/WSJ	2016-12-12	2016-12-15		Adults	1000	3.1	Live Phone	Nonpartisan	None
56.0	41.0		gallup-26925	Gallup	2016-12-12	2016-12-14		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	40.0		rasmussen-26923	Rasmussen	2016-12-12	2016-12-14		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
53.0	41.0	7.0	fox-26927	FOX	2016-12-11	2016-12-13		Registered Voters	1034	3.0	Live Phone	Nonpartisan	None
89.0	8.0	3.0	fox-26927	FOX	2016-12-11	2016-12-13		Registered Voters - Democrat		4.5	Live Phone	Nonpartisan	None
12.0	80.0	8.0	fox-26927	FOX	2016-12-11	2016-12-13		Registered Voters - Republican		5.0	Live Phone	Nonpartisan	None
45.0	44.0	11.0	fox-26927	FOX	2016-12-11	2016-12-13		Registered Voters - independent		7.0	Live Phone	Nonpartisan	None
57.0	40.0		gallup-26920	Gallup	2016-12-11	2016-12-13		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	41.0		rasmussen-26918	Rasmussen	2016-12-11	2016-12-13		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
48.0	42.0	9.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults	1465	3.1	Internet	Nonpartisan	None
85.0	13.0	2.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults - Democrat	548		Internet	Nonpartisan	None
19.0	78.0	2.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults - Republican	323		Internet	Nonpartisan	None
39.0	43.0	18.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults - independent	594		Internet	Nonpartisan	None
56.0	36.0	8.0	cbs-26928	CBS	2016-12-09	2016-12-13		Adults	1259	3.0	Live Phone	Nonpartisan	None
88.0	8.0	5.0	cbs-26928	CBS	2016-12-09	2016-12-13		Adults - Democrat	453		Live Phone	Nonpartisan	None
19.0	74.0	7.0	cbs-26928	CBS	2016-12-09	2016-12-13		Adults - Republican	332		Live Phone	Nonpartisan	None
56.0	33.0	11.0	cbs-26928	CBS	2016-12-09	2016-12-13		Adults - independent	474		Live Phone	Nonpartisan	None
54.0	41.0	5.0	ipsos-reuters-26926	Ipsos/Reuters	2016-12-09	2016-12-13	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	1208	3.2	Internet	Nonpartisan	None
87.0	10.0	3.0	ipsos-reuters-26926	Ipsos/Reuters	2016-12-09	2016-12-13	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	512	4.9	Internet	Nonpartisan	None
21.0	77.0	2.0	ipsos-reuters-26926	Ipsos/Reuters	2016-12-09	2016-12-13	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	436	5.4	Internet	Nonpartisan	None
47.0	49.0	3.0	ipsos-reuters-26926	Ipsos/Reuters	2016-12-09	2016-12-13	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	154	9.0	Internet	Nonpartisan	None
56.0	41.0		gallup-26916	Gallup	2016-12-10	2016-12-12		Adults	1500	3.0	Live Phone	Nonpartisan	None
57.0	42.0		rasmussen-26914	Rasmussen	2016-12-08	2016-12-12		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
59.0	39.0		gallup-26912	Gallup	2016-12-09	2016-12-11		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	43.0	2.0	politico-morning-consult-26913	Politico/Morning Consult	2016-12-08	2016-12-11		Registered Voters	2000	2.0	Internet	Nonpartisan	None
90.0	9.0	1.0	politico-morning-consult-26913	Politico/Morning Consult	2016-12-08	2016-12-11		Registered Voters - Democrat	741		Internet	Nonpartisan	None
19.0	81.0	1.0	politico-morning-consult-26913	Politico/Morning Consult	2016-12-08	2016-12-11		Registered Voters - Republican	637		Internet	Nonpartisan	None
49.0	46.0	5.0	politico-morning-consult-26913	Politico/Morning Consult	2016-12-08	2016-12-11		Registered Voters - independent	622		Internet	Nonpartisan	None
56.0	43.0		rasmussen-26908	Rasmussen	2016-12-07	2016-12-11		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
58.0	40.0		gallup-26911	Gallup	2016-12-08	2016-12-10		Adults	1500	3.0	Live Phone	Nonpartisan	None
59.0	39.0		gallup-26910	Gallup	2016-12-06	2016-12-09		Adults	1500	3.0	Live Phone	Nonpartisan	None
55.0	42.0	3.0	mcclatchy-marist-26915	McClatchy/Marist	2016-12-01	2016-12-09	Do you approve or disapprove of the job Barack Obama is doing as president?	Registered Voters	873	3.3	Live Phone	Nonpartisan	None
92.0	7.0	1.0	mcclatchy-marist-26915	McClatchy/Marist	2016-12-01	2016-12-09	Do you approve or disapprove of the job Barack Obama is doing as president?	Registered Voters - Democrat			Live Phone	Nonpartisan	None
15.0	79.0	6.0	mcclatchy-marist-26915	McClatchy/Marist	2016-12-01	2016-12-09	Do you approve or disapprove of the job Barack Obama is doing as president?	Registered Voters - Republican			Live Phone	Nonpartisan	None
53.0	44.0	3.0	mcclatchy-marist-26915	McClatchy/Marist	2016-12-01	2016-12-09	Do you approve or disapprove of the job Barack Obama is doing as president?	Registered Voters - independent			Live Phone	Nonpartisan	None
56.0	43.0		rasmussen-26905	Rasmussen	2016-12-06	2016-12-08		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
56.0	41.0		gallup-26906	Gallup	2016-12-05	2016-12-08		Adults	1500	3.0	Live Phone	Nonpartisan	None
50.0	45.0	5.0	ppp-d-26904	PPP (D)	2016-12-06	2016-12-07	Do you approve or disapprove of President Barack Obama's job performance?	Likely Voters	1224	2.8	IVR/Online	Pollster	Dem
83.0	13.0	4.0	ppp-d-26904	PPP (D)	2016-12-06	2016-12-07	Do you approve or disapprove of President Barack Obama's job performance?	Likely Voters - Democrat			IVR/Online	Pollster	Dem
9.0	87.0	3.0	ppp-d-26904	PPP (D)	2016-12-06	2016-12-07	Do you approve or disapprove of President Barack Obama's job performance?	Likely Voters - Republican			IVR/Online	Pollster	Dem
40.0	49.0	10.0	ppp-d-26904	PPP (D)	2016-12-06	2016-12-07	Do you approve or disapprove of President Barack Obama's job performance?	Likely Voters - independent			IVR/Online	Pollster	Dem
56.0	43.0		rasmussen-26901	Rasmussen	2016-12-05	2016-12-07		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
55.0	41.0		gallup-26899	Gallup	2016-12-04	2016-12-06		Adults	1500	3.0	Live Phone	Nonpartisan	None
56.0	43.0		rasmussen-26896	Rasmussen	2016-12-04	2016-12-06		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
53.0	42.0	5.0	ipsos-reuters-26900	Ipsos/Reuters	2016-12-02	2016-12-06	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	1716	2.7	Internet	Nonpartisan	None
86.0	12.0	1.0	ipsos-reuters-26900	Ipsos/Reuters	2016-12-02	2016-12-06	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	732	4.1	Internet	Nonpartisan	None
21.0	77.0	2.0	ipsos-reuters-26900	Ipsos/Reuters	2016-12-02	2016-12-06	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	633	4.4	Internet	Nonpartisan	None
53.0	43.0	4.0	ipsos-reuters-26900	Ipsos/Reuters	2016-12-02	2016-12-06	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	193	8.0	Internet	Nonpartisan	None
52.0	40.0	9.0	yougov-economist-26895	YouGov/Economist	2016-12-03	2016-12-05		Adults	1417	3.2	Internet	Nonpartisan	None
85.0	12.0	3.0	yougov-economist-26895	YouGov/Economist	2016-12-03	2016-12-05		Adults - Democrat	556		Internet	Nonpartisan	None
18.0	79.0	2.0	yougov-economist-26895	YouGov/Economist	2016-12-03	2016-12-05		Adults - Republican	296		Internet	Nonpartisan	None
43.0	40.0	17.0	yougov-economist-26895	YouGov/Economist	2016-12-03	2016-12-05		Adults - independent	565		Internet	Nonpartisan	None
54.0	42.0		gallup-26892	Gallup	2016-12-03	2016-12-05		Adults	1500	3.0	Live Phone	Nonpartisan	None
54.0	42.0	4.0	bloomberg-selzer-26897	Bloomberg/Selzer	2016-12-02	2016-12-05		Adults	999	3.1	Live Phone	Nonpartisan	None
55.0	43.0		rasmussen-26887	Rasmussen	2016-12-01	2016-12-05		Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
